English,French,Ewondo - AGLC,Prefixe nominal,Word: mot,Prefixe,Stem: radical de base,Suffixe,Nominal class,Gender,Part of speech,Notes
clocking,cadences,bugulan (ǹ-/min-),n-/min-,bug-ul-an,,bug-,ul-an,cl3/cl4,Gender-2,nom,
abajou,abajoue,bui (e-/bi-),e-/bi-,bu-i,,bu-,i,cl7/cl8,Gender-4,nom,
cabosse,dent,buma (e-/bi-),e-/bi-,bum-a,,bum-,a,cl7/cl8,Gender-4,nom,
fruit,fruit,buma (e-/bi-),e-/bi-,bum-a,,bum-,a,cl7/cl8,Gender-4,nom,
dent,cabosse,buma (e-/bi-),e-/bi-,bum-a,,bum-,a,cl7/cl8,Gender-4,nom,
capsule,capsule,buma (e-/bi-),e-/bi-,bum-a,,bum-,a,cl7/cl8,Gender-4,nom,
fruit,fruit,buma (e-/bi-),e-/bi-,bum-a,,bum-,a,cl7/cl8,Gender-4,nom,
pill,cachet,buma (e-/bi-),e-/bi-,bum-a,,bum-,a,cl7/cl8,Gender-4,nom,
dumb,niais,bus (e-/bi-),e-/bi-,bus,,bus,ø,cl7/cl8,Gender-4,nom,
dumb,niais,bus (e-/bi-),e-/bi-,bus,,bus,ø,cl7/cl8,Gender-4,nom,
briefs,cache-sexe,bwi (e-/bi-),e-/bi-,bwi,,bwi,ø,cl7/cl8,Gender-4,nom,
power capture,capture des puissances,byaǹ (ø-/ø-),ø-/ø-,byan,,byan,ø,cl9/cl10,Gender-5,nom,
capsule,capsule,dibiga (e-/bi-),e-/bi-,dib-ig-a,,dib-,ig-a,cl7/cl8,Gender-4,nom,
caps,capuchon,dibiga (e-/bi-),e-/bi-,dib-ig-a,,dib-,ig-a,cl7/cl8,Gender-4,nom,
vegetable,legume,diga (e-/bi-),e-/bi-,dig-a,,dig-,a,cl7/cl8,Gender-4,nom,
calcining,calcination,digi (e-/bi-),e-/bi-,dig-i,,dig-,i,cl7/cl8,Gender-4,nom,
capture,capture,dili (e-/bi-),e-/bi-,dil-i,,dil-,i,cl7/cl8,Gender-4,nom,
loss,perdition,dimi (a-/mə-),a-/më-,dim-i,,dim-,i,cl5/cl6,Gender-3,nom,
worker,ouvrier,bɔesye (m-/bə-),m-/bë-,boesye,,boesye,ø,cl1/cl2,Gender-1,nom,
mystery,cachotterie,dimiǹ (bi-/bi-),bi-/bi-,dim-in,,dim-,in,cl8/cl8,Gender-4b,nom,
mystery,secret,dimiǹ (bi-/bi-),bi-/bi-,dim-in,,dim-,in,cl8/cl8,Gender-4b,nom,
cancer,cancer,dudun (e-/bi-),e-/bi-,du-du-n,,dun-,du,cl7/cl8,Gender-4,nom,
toilet,cabinet d’aisance,dug (e-/bi-),e-/bi-,dug,,dug,ø,cl7/cl8,Gender-4,nom,
sweat,sueur,dugudu (e-/bi-),e-/bi-,dug-ud-u,,dug-,ud-u,cl7/cl8,Gender-4,nom,
cancer,cancer,dun (e-/bi-),e-/bi-,dun,,dun,ø,cl7/cl8,Gender-4,nom,
carcinogenic,cancérigène,dun (e-/bi-),e-/bi-,dun,,dun,ø,cl7/cl8,Gender-4,nom,
shea,karité,dzab (a-/mə-),a-/më-,dzab,,dzab,ø,cl5/cl6,Gender-3,nom,
human intercourse,accouplement d'humain,dzi (mə-/mə-),më-/më-,dzi,,dzi,ø,cl6/cl6,Gender-5,nom,
paralogism,paralogisme,dzodzo (e-/bi-),e-/bi-,dzo-dzo,dzo,-dzo,ø,cl7/cl8,Gender-4,nom,
surrender,capitulation,dzoge (e-/bi-),e-/bi-,dzog-e,,dzog-,e,cl7/cl8,Gender-4,nom,
bed,couche,dzogogobo (a-/mə-),a-/më-,dzog-og-ob-o,,dzog-,og-ob-o,cl5/cl6,Gender-3,nom,
gift,cadeau,fai (e-/bi-),e-/bi-,fa-i,,fa-,i,cl7/cl8,Gender-4,nom,
grumble,action de parler,falaga (e-/bi-),e-/bi-,fal-ag-a,,fal-,ag-a,cl7/cl8,Gender-4,nom,
different,différent,fə (e-/bi-),e-/bi-,fë,,fë,ø,cl7/cl8,Gender-4,nom,
lock,cadenas,fɛdəga (e-/bi-),e-/bi-,fed-ëg-a,,fed-,ëg-a,cl7/cl8,Gender-4,nom,
wisdom,sagesse,fəg (ø-/mə-),ø-/më-,fëg,,fëg,ø,cl9/cl6,Gender-7,nom,
assessment,estimation,fəgə (e-/bi-),e-/bi-,fëg-ë,,fëg-,ë,cl7/cl8,Gender-4,nom,
cable,cable,daǹ ngala (a-/mə-),a-/më-,dan ngala,,dan ngala,ø,cl5/cl6,Gender-3,nom,
heavy,alourdissant,did (a-/a-),a-/a-,did,,did,ø,cl5/cl5,Gender-3f,nom,
cell,cachot,fen (ø-/ø-),ø-/ø-,fen,,fen,ø,cl9/cl10,Gender-5,nom,
hope,espoir,fidi (a-/mə-),a-/më-,fid-i,,fid-,i,cl5/cl6,Gender-3,nom,
dented,cabossé,fid fida (e-/bi-),e-/bi-,fid fid-a,,fid fid-,a,cl7/cl8,Gender-4,nom,
cockroach,cafard,fifie (ø-/ø-),ø-/ø-,fi-fie,fi,-fie,ø,cl9/cl10,Gender-5,nom,
blindness,cécité,dim (ø-/ø-),ø-/ø-,dim,,dim,ø,cl9/cl10,Gender-5,nom,
limestone,calcaire,fəm (ø-/ø-),ø-/ø-,fëm,,fëm,ø,cl9/cl10,Gender-5,nom,
caravan,caravane,fímba (e-/bi-),e-/bi-,fim-ba,,fim-,ba,cl7/cl8,Gender-4,nom,
cockroach,cafardage,fimili (e-/bi-),e-/bi-,fim-il-i,,fim-,il-i,cl7/cl8,Gender-4,nom,
canine,canine,fo (ø-/ø-),ø-/ø-,fo,,fo,ø,cl9/cl10,Gender-5,nom,
naughtiness,grivoiserie,fodog (bi-/bi-),bi-/bi-,fod-og,,fod,og,cl8/cl8,Gender-4b,nom,
shed,cabanon,fen (ø-/ø-),ø-/ø-,fen,,fen,ø,cl9/cl10,Gender-5,nom,
bug,punaise,fig (a-/mə-),a-/më-,fig,,fig,ø,cl5/cl6,Gender-3,nom,
abbey,abbaye,fɔi (e-/bi-),e-/bi-,fo-i,,fo-,i,cl7/cl8,Gender-4,nom,
custodial,carcéral,fɔi (e-/bi-),e-/bi-,fo-i,,fo-,i,cl7/cl8,Gender-4,nom,
capitulators,capitulard,fɔn (e-/bi-),e-/bi-,fon,,fon,ø,cl7/cl8,Gender-4,nom,
foul,mal propre,fua (e-/bi-),e-/bi-,fua,,fua,ø,cl7/cl8,Gender-4,nom,
canonisation,canonisation,fubu (e-/bi-),e-/bi-,fub-u,,fub-,u,cl7/cl8,Gender-4,nom,
cleansing,purification,fubu (e-/bi-),e-/bi-,fub-u,,fub-,u,cl7/cl8,Gender-4,nom,
innocence,candeur,fubu (e-/bi-),e-/bi-,fub-u,,fub-,u,cl7/cl8,Gender-4,nom,
caranche,caranche,fufua (e-/bi-),e-/bi-,fu-fu-a,,fu-,fu-a,cl7/cl8,Gender-4,nom,
grill,calandre,fig (ø-/ø-),ø-/ø-,fig,,fig,ø,cl9/cl10,Gender-5,nom,
coming together,action de réunir (se),fulan (e-/bi-),e-/bi-,ful-an,,ful-,an,cl7/cl8,Gender-4,nom,
hoax,canular,fulu (e-/bi-),e-/bi-,ful-u,,ful-,u,cl7/cl8,Gender-4,nom,
behaviour,habitude,fulu (ø-/mə-),ø-/më-,ful-u,,ful-,u,cl9/cl6,Gender-7,nom,
behaviour,caractère,fulu (ø-/mə-),ø-/më-,ful-u,,ful-,u,cl9/cl6,Gender-7,nom,
attitude,habitude,fulu (ø-/mə-),ø-/më-,ful-u,,ful-,u,cl9/cl6,Gender-7,nom,
attitude,caractère,fulu (ø-/mə-),ø-/më-,ful-u,,ful-,u,cl9/cl6,Gender-7,nom,
ingenuous,candide,fumulu (e-/bi-),e-/bi-,fum-ul-u,,fum-,ul-u,cl7/cl8,Gender-4,nom,
canitis,canitie,fumulu (e-/bi-),e-/bi-,fum-ul-u,,fum-,ul-u,cl7/cl8,Gender-4,nom,
deadly,cadavéreux,fumulu (e-/bi-),e-/bi-,fum-ul-u,,fum-,ul-u,cl7/cl8,Gender-4,nom,
mortis,cadavérique,fumulu (e-/bi-),e-/bi-,fum-ul-u,,fum-,ul-u,cl7/cl8,Gender-4,nom,
whiteness,blancheur,fumulu (e-/bi-),e-/bi-,fum-ul-u,,fum-,ul-u,cl7/cl8,Gender-4,nom,
canoe,canoe,funga (e-/bi-),e-/bi-,fung-a,,fung-,a,cl7/cl8,Gender-4,nom,
calcined,calcin,fusa (e-/bi-),e-/bi-,fus-a,,fus-,a,cl7/cl8,Gender-4,nom,
joke,canular,fyanga (ø-/ø-),ø-/ø-,fyanga,,fyanga,ø,cl9/cl10,Gender-5,nom,
toilet,cabinet,fyɛ (ø-/ø-),ø-/ø-,fye,,fye,ø,cl9/cl10,Gender-5,nom,
nail,ongle,iye (dz-/b-),dz-/b-,iye,,iye,ø,cl5a/cl8b,Gender4b,nom,
claw,ongle,iye (dz-/b-),dz-/b-,iye,,iye,ø,cl5a/cl8b,Gender4b,nom,
support,action de grâces,ka (e-/bi-),e-/bi-,ka,,ka,ø,cl7/cl8,Gender-4,nom,
cacti,cactée,ka zəg (e-/bi-),e-/bi-,ka zëg,,ka zëg,ø,cl7/cl8,Gender-4,nom,
revive,ranimer,kabadan (e-/bi-),e-/bi-,kab-ad-an,,kab-,ad-an,cl7/cl8,Gender-4,nom,
caporal,caporal,kabalan (ø-/ø-),ø-/ø-,kab-al-an,,kab-,al-an,cl9/cl10,Gender-5,nom,
caporal,cabot,kabalan (ø-/ø-),ø-/ø-,kab-al-an,,kab-,al-an,cl9/cl10,Gender-5,nom,
cab,cabine,kabin (ø-/ø-),ø-/ø-,kabin,,kabin,ø,cl9/cl10,Gender-5,nom,
statement,action de dire,kad (e-/bi-),e-/bi-,kad,,kad,ø,cl7/cl8,Gender-4,nom,
load,cargaison,kag (e-/bi-),e-/bi-,kag,,kag,ø,cl7/cl8,Gender-4,nom,
gift,cadeau,kai (e-/bi-),e-/bi-,ka-i,,ka-,i,cl7/cl8,Gender-4,nom,
frame,carcasse,kali (e-/bi-),e-/bi-,kal-i,,kal-,i,cl7/cl8,Gender-4,nom,
trolley,caddie,kalid (e-/bi-),e-/bi-,kalid,,kalid,ø,cl7/cl8,Gender-4,nom,
shopping trolley,caddie,kalid (e-/bi-),e-/bi-,kalid,,kalid,ø,cl7/cl8,Gender-4,nom,
draw,dessiner,kaǹ (e-/bi-),e-/bi-,kan,,kan,ø,cl7/cl8,Gender-4,nom,
calcining,calcination,kaǹ (e-/bi-),e-/bi-,kan,,kan,ø,cl7/cl8,Gender-4,nom,
graphic character,caractère graphique,kanga (e-/bi-),e-/bi-,kan-ga,,kan-,ga,cl7/cl8,Gender-4,nom,
aiming,action de viser,kədan (e-/bi-),e-/bi-,këd-an,,këd-,an,cl7/cl8,Gender-4,nom,
club,gourdin,kəg (ø-/mə-),ø-/më-,këg,,këg,ø,cl9/cl6,Gender-7,nom,
stuttering,bégaiement,kəgəbə (e-/bi-),e-/bi-,këg-ëb-ë,,këg-,ëb-ë,cl7/cl8,Gender-4,nom,
cackle,caquet,kəgəbə (e-/bi-),e-/bi-,këg-ëb-ë,,këg-,ëb-ë,cl7/cl8,Gender-4,nom,
stutterer,bègue,kəgəbə (e-/bi-),e-/bi-,këg-ëb-ë,,këg-,ëb-ë,cl7/cl8,Gender-4,nom,
cackling,caquetage,kəgəbə (e-/bi-),e-/bi-,këg-ëb-ë,,këg-,ëb-ë,cl7/cl8,Gender-4,nom,
saying too much,action de dire,kəkada (e-/bi-),e-/bi-,kë-kad-a,kë,-kad-,a,cl7/cl8,Gender-4,nom,
goat,cabri,kəla (e-/bi-),e-/bi-,kël-a,,kël-,a,cl7/cl8,Gender-4,nom,
clot,caillot,kələg (e-/bi-),e-/bi-,kël-ëg,,kël-,ëg,cl7/cl8,Gender-4,nom,
creamy,cremeux,kəm (e-/bi-),e-/bi-,këm,,këm,ø,cl7/cl8,Gender-4,nom,
fickel,capricieux,kəǹ (e-/bi-),e-/bi-,kën,,kën,ø,cl7/cl8,Gender-4,nom,
ban,interdit,ki (e-/bi-),e-/bi-,ki,,ki,ø,cl7/cl8,Gender-4,nom,
deprivation,privation,ki (e-/bi-),e-/bi-,ki,,ki,ø,cl7/cl8,Gender-4,nom,
heel strike,frappe du talon,kinda (e-/bi-),e-/bi-,kin-da,,kin-,da,cl7/cl8,Gender-4,nom,
coasting trade,cabotage,kiǹili (e-/bi-),e-/bi-,kin-il-i,,kin-,il-i,cl7/cl8,Gender-4,nom,
cabal,cabale,koan (e-/bi-),e-/bi-,ko-an,,ko-,an,cl7/cl8,Gender-4,nom,
relevant,capable,kodo (e-/bi-),e-/bi-,kod-o,,kod-,o,cl7/cl8,Gender-4,nom,
greed,avarice,koe (a-/mə-),a-/më-,koe,,koe,ø,cl5/cl6,Gender-3,nom,
wire,câble,koe (e-/bi-),e-/bi-,koe,,koe,ø,cl7/cl8,Gender-4,nom,
frame,carcasse,kog (e-/bi-),e-/bi-,kog,,kog,ø,cl7/cl8,Gender-4,nom,
shell,carapace,kogolo (e-/bi-),e-/bi-,kog-ol-o,,kog-,ol-o,cl7/cl8,Gender-4,nom,
calamity,calamite,kon (e-/bi-),e-/bi-,kon,,kon,ø,cl7/cl8,Gender-4,nom,
holy super,pain eucharistique,kumuniyon (ø-/ø-),ø-/ø-,kumuniyon,,kumuniyon,ø,cl9/cl10,Gender-5,nom,
revenge,vengeance,kunuǹa (e-/bi-),e-/bi-,kun-un-a,,kun-,un-a,cl7/cl8,Gender-4,nom,
cup,gobelet,labi (e-/bi-),e-/bi-,lab-i,,lab-,i,cl7/cl8,Gender-4,nom,
hubris,arrogance,laǹ (e-/bi-),e-/bi-,lan,,lan,ø,cl7/cl8,Gender-4,nom,
spyglass,longue vue,ləmbə (e-/bi-),e-/bi-,lëmb-ë,,lëmb-,ë,cl7/cl8,Gender-4,nom,
dignity,dignité,lugu (o-/o-),o-/o-,lug-u,,lug-,u,cl11/cl11,Gender-8b,nom,
friendship,acte d'amitié,mgba (ø-/mə-),ø-/më-,mgba,,mgba,ø,cl9/cl6,Gender-7,nom,
armpit,aisselle,mvam (ø-/ø-),ø-/ø-,mvam,,mvam,ø,cl9/cl10,Gender-5,nom,
rain,pluie,mvəǹ (ø-/mə-),ø-/më-,mvën,,mvën,ø,cl9/cl6,Gender-7,nom,
wound,blessure,mvəǹ (a-/mə-),a-/më-,mvën,,mvën,ø,cl5/cl6,Gender-3,nom,
right,droit,mvende (ø-/mə-),ø-/më-,mvend-e,,mvend-,e,cl9/cl6,Gender-7,nom,
elder,aîné,mvende (ø-/bə-),ø-/bë-,mvend-e,,mvend-,e,cl9/cl2,Gender-6,nom,
elder,ancien,mvende (ø-/bə-),ø-/bë-,mvend-e,,mvend-,e,cl9/cl2,Gender-6,nom,
dirt,saleté,mvid (ø-/ø-),ø-/ø-,mvid,,mvid,ø,cl9/cl10,Gender-5,nom,
friend,ami,mvoe (ø-/bə-),ø-/bë-,mvoe,,mvoe,ø,cl9/cl2,Gender-6,nom,
peace,paix,mvɔi (ø-/ø-),ø-/ø-,mvoi,,mvoi,ø,cl9/cl10,Gender-5,nom,
dishonesty,malhonnêteté,mvol (ø-/ø-),ø-/ø-,mvol,,mvol,ø,cl9/cl10,Gender-5,nom,
error,erreur,mvus (ø-/mə-),ø-/më-,mvus,,mvus,ø,cl9/cl6,Gender-7,nom,
disorder,désordre,myas (bi-/bi-),bi-/bi-,myas,,myas,ø,cl8/cl8,Gender-4b,nom,
capernaum,capharnaüm,myas (e-/bi-),e-/bi-,myas,,myas,ø,cl7/cl8,Gender-4,nom,
paddel,pagaie,ǹab (e-/bi-),e-/bi-,nab,,nab,ø,cl7/cl8,Gender-4,nom,
sickly,malingre,ǹadi (e-/bi-),e-/bi-,nad-i,,nad-,i,cl7/cl8,Gender-4,nom,
width,largeur,ndam (ø-/mə-),ø-/më-,ndam,,ndam,ø,cl9/cl6,Gender-7,nom,
calabash,calebasse,ndəg (ø-/mə-),ø-/më-,ndëg,,ndëg,ø,cl9/cl6,Gender-7,nom,
fire,feu,nduan (ø-/mə-),ø-/më-,ndu-an,,ndu-,an,cl9/cl6,Gender-7,nom,
sweet potato,patate douce,ndubi (ø-/ø-),ø-/ø-,ndub-i,,ndub-,i,cl9/cl10,Gender-5,nom,
fight,combat,ndum (ø-/mə-),ø-/më-,ndum,,ndum,ø,cl9/cl6,Gender-7,nom,
firewood,bois de chauffage,ndzag (ø-/ø-),ø-/ø-,ndzag,,ndzag,ø,cl9/cl10,Gender-5,nom,
meanness,mesquinerie,ngad (bi-/bi-),bi-/bi-,ngad,,ngad,ø,cl8/cl8,Gender-4b,nom,
prejudice,partie (parti pris),ngam (ø-/mə-),ø-/më-,ngam,,ngam,ø,cl9/cl6,Gender-7,nom,
exoterism,exotérisme,ngan (ø-/ø-),ø-/ø-,ngan,,ngan,ø,cl9/cl10,Gender-5,nom,
cruelty,cruauté,ngɛd (ø-/ø-),ø-/ø-,nged,,nged,ø,cl9/cl10,Gender-5,nom,
clarity,clarté,ngəǹ (e-/bi-),e-/bi-,ngën,,ngën,ø,cl7/cl8,Gender-4,nom,
stick,bâton,ngəǹ (e-/bi-),e-/bi-,ngën,,ngën,ø,cl7/cl8,Gender-4,nom,
referee,arbitre,ngəngama (e-/bi-),e-/bi-,ngë-ngam-a,ngë,-ngam-,a,cl7/cl8,Gender-4,nom,
light,lumière,ngəǹngəǹ (e-/bi-),e-/bi-,-ngën-ngën,ngën,-ngën-,ø,cl7/cl8,Gender-4,nom,
